# Luiza script for GLORIA demonstrator started at Mon Apr 8 11:52:34 CEST 2013 
# Input arguments are: 98.7427872 15.33213114 1.5 0 1 
# Job number is 000316 
#================================================
# HJD        Mag        MagError   
#                                  
2454193.54739926    6.90403   0.104938 
2454193.54841813    6.90577   0.124486 
2454193.54935548    6.87821    0.13846 
2454193.55513106    6.88297   0.117663 
2454193.55529314     6.9112   0.128004 
2454193.55544356    6.85202   0.158975 
2454193.55606853    6.88429   0.133706 
2454423.67462074    7.20107  0.0344587 
2454423.67773416    7.19556  0.0357844 
2454423.68062718     7.2033  0.0394237 
2454423.68164566    7.17564  0.0464971 
2454423.68178452    7.17701  0.0402431 
2454423.681935    7.21441  0.0390924 
2454423.68367115    7.23576  0.0492714 
2454423.68380998    7.25441  0.0478947 
2454423.68396049    7.19414  0.0392617 
2454423.68670351    7.18049  0.0480202 
2454423.68775668    7.19561  0.0514596 
2454423.68789557    7.21769  0.0391821 
2454423.68804602    7.22099  0.0423015 
2454423.6910203    7.21122   0.041436 
2454482.7642276    6.71492  0.0475272 
2454700.89743863     7.2366   0.042315 
2454700.89871791    7.24366  0.0415236 
2454700.9018314    7.24191  0.0399668 
2454700.90473702    7.26534  0.0420007 
2454700.9076539    7.24675  0.0403624 
2454700.91057066    7.23885  0.0398607 
2454700.91358026    7.24716  0.0327842 
2454700.91649769    7.24773  0.0333705 
2454700.91941482    7.23034  0.0359548 
2454795.65142193     7.2136  0.0339575 
2454860.66166791    7.33725  0.0371291 
2454860.66295225    7.33745   0.033117 
2454860.66673678    7.35119  0.0310333 
2454860.72976285    7.32167  0.0390775 
2454423.67461524    7.26986  0.0503296 
2454423.67772865    7.25272  0.0514886 
2454423.68062166    7.24601  0.0477162 
2454423.6835151    7.26523   0.060203 
2454423.68366564    7.27988  0.0617112 
2454423.68380444    7.25057  0.0461065 
2454423.68409386    7.22881  0.0418198 
2454423.68669801    7.23881  0.0584975 
2454423.68684844    7.20915  0.0540817 
2454423.68698734    7.24923  0.0429014 
2454423.68775112    7.31885  0.0600428 
2454423.68789007     7.2922  0.0455867 
2454423.68804045    7.23502  0.0349581 
2454423.69101473    7.24598   0.046543 
2454470.81555968    7.17013  0.0563263 
2454470.81660896    7.20009  0.0675979 
2454482.7653263    6.75301  0.0614889 
2454860.66165849    7.34426   0.124728 
2454860.66294283    7.39937    0.11787 
2454860.6667274    7.39385   0.108878 
2454860.72975394    7.34969   0.114877 
2454860.73276316    7.35851   0.107218 
2454860.7357715    7.33947   0.110052 
2454860.73869992    7.33563   0.123721 
2454891.64812546    7.41358   0.121312 
2454891.65150493     7.4154    0.12416 
2454891.65442137    7.41358   0.133194 
2454891.65734949    7.18969   0.622418 
2454891.66026605    7.23571   0.523191 
2454900.62171815    7.03688   0.202929 
2454900.62279419    6.96058   0.239213 
2454900.62579175    6.91597   0.244539 
2454900.62871961    6.91085   0.262295 
2454436.83854308    6.81586  0.0212716 
2454436.83964773    6.83975  0.0339116 
2454709.89389444    7.37217  0.0630413 
2454709.89565134    7.38069  0.0360638 
2454709.8991469    7.37582  0.0424665 
2454709.90205229     7.3869  0.0386339 
2454709.9049691    7.37556  0.0384556 
2454709.90789749    7.38017  0.0300458 
2454795.65394115    7.21692  0.0397738 
2454795.65530959    7.21956  0.0312581 
2454855.71670653    6.87956  0.0380317 
2454855.7180543     6.8482  0.0350268 
2454855.72131823    6.86319  0.0374557 
2454855.7243387    6.85911  0.0334736 
2454855.72724346    6.85624    0.03302 
2454881.61117767     7.0338  0.0343629 
2454881.6125199    7.08258  0.0315028 
2454881.61564475     7.0778   0.034119 
2454881.61863063     7.0801  0.0325435 
2454881.62154673    7.08102  0.0353191 
2454881.6244747    7.07197  0.0328222 
